text,text_clean,label_primary,label_final
"Заказали 14.10.2017 , получили 25.10.2017 
На мой размер 42, широкий как мешок. Надо было все таки размер  S заказать. 
По поводу качества хороший пуховик. 
Мех натуральный , съемный. 
Буду продавать .","заказали 14.10.2017 , получили 25.10.2017 на мой размер 42, широкий как мешок. надо было все таки размер s заказать. по поводу качества хороший пуховик. мех натуральный , съемный. буду продавать .",одежда,одежда
"футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой М, заказала Л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.","футболка хорошего качества,но футболка не как для девушек и женщин,а как на мужчину. она очень свободная. на свой м, заказала л. теперь не знаю что делать,ибо она мне велика, даже моему папе она полезет.",одежда,одежда
Все отлично!!!,все отлично!!!,одежда,одежда
"Рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё","рисунок не очень чёткий, а ткань прозрачная, видно нижнее бельё",одежда,одежда
"плохо!!!Низ рваный..деньги не вернули!Открыла спор,но его почему то закрыли","плохо!!!низ рваный..деньги не вернули!открыла спор,но его почему то закрыли",нет товара,украшения и аксессуары
"обычная майка с ужасным запахом, есть косяки на белой надписи как краска","обычная майка с ужасным запахом, есть косяки на белой надписи как краска",одежда,одежда
"Все как на фото, и цвет и форма.","все как на фото, и цвет и форма.",одежда,одежда
"Но рост 180 по колено,качество хорошее,доставка быстрая","но рост 180 по колено,качество хорошее,доставка быстрая",нет товара,украшения и аксессуары
Не подошло по размеру. Ткань тоже не понравилась,не подошло по размеру. ткань тоже не понравилась,одежда,одежда
"очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес","очень крутой топ,заказала 11.11 пришел 28.11 еще и курьер принес",одежда,электроника
"брак,очень растроенна","брак,очень растроенна",одежда,одежда
криво пошита ткань. большой размер.,криво пошита ткань. большой размер.,одежда,одежда
"Отвратительное качество материала. Продавец обещает хлопок, а пришла голая синтетика. Сильный запах. ","отвратительное качество материала. продавец обещает хлопок, а пришла голая синтетика. сильный запах.",нет товара,товары для детей
"Качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, Но, размер просто капелюшчный, на 44 размер XXL еле, еле подошёл. Я заказала 3xL, а прислали 2xl, открыла спор, никак не решили проблему. Очень обидно.","качество очень даже неплохое, что хотела, синтетика немного похожа на замшу, но, размер просто капелюшчный, на 44 размер xxl еле, еле подошёл. я заказала 3xl, а прислали 2xl, открыла спор, никак не решили проблему. очень обидно.",нет товара,нет товара
"Товар не получила, деньги не вернули!","товар не получила, деньги не вернули!",нет товара,товары для детей
"Супер!!! Очень красивая блузка, качество отличное, смотрится замечательно. Принёс курьер домой)))","супер!!! очень красивая блузка, качество отличное, смотрится замечательно. принёс курьер домой   ",одежда,одежда
"Качество хорошее, большой вырез ссади","качество хорошее, большой вырез ссади",одежда,одежда
